(100, 1, 5000, 5001)
(101, 1, 5000, 5018)
(102, 1, 5000, 5001)
(103, 1, 5000, 5018)
(104, 1, 5000, 5001)
(105, 1, 5000, 5010)
(106, 1, 5000, 5010)
(107, 1, 5000, 5001)
(108, 1, 5000, 5010)
(200, 1, 5010, 5018)
(201, 1, 5010, 5000)
(202, 1, 5010, 5001)
(203, 1, 5010, 5018)
(204, 1, 5010, 5000)
(205, 1, 5010, 5018)
(206, 1, 5010, 5018)
(207, 1, 5010, 5001)
(208, 1, 5010, 5001)
(300, 1, 5001, 5010)
(301, 1, 5001, 5018)
(302, 1, 5001, 5018)
(303, 1, 5001, 5010)
(304, 1, 5001, 5000)
(305, 1, 5001, 5010)
(306, 1, 5001, 5018)
(307, 1, 5001, 5018)
(308, 1, 5001, 5000)
(400, 1, 5018, 5010)
(401, 1, 5018, 5001)
(402, 1, 5018, 5000)
(403, 1, 5018, 5010)
(404, 1, 5018, 5001)
(405, 1, 5018, 5010)
(406, 1, 5018, 5001)
(407, 1, 5018, 5000)
(408, 1, 5018, 5010)
